0,Доля_детей_5-18 лет,Естесственный_прирост_населения,Количество_малых_и_средних_предприятий,Миграционный_прирост_населения,Общий_коэффициент_рождаемости,Общий_коэффициент_смертности,Площадь_жилых_помещений_на_1_жителя,Процент_парков_и_лесов_от_площади,Процент_работающих_в_малом_и_среднем_бизнесе,Средняя_зарплата_сотрудников_крупных_организаций,Стоимость_съема_квартиры_площадью_в_40_м2,Цена_за_квадратный_метр_жилья_медианная,Выдано_разрешений_на_строительство,Численность_населения
Академический район,10.49,4.8,348.06,24.52,10.7,5.9,20.1,7.016893344,22.06,172064.6822,36888.0,226026.7442,2,109200
Алексеевский район,9.55,-3.3,485.14,26.1,5.7,9.0,18.3,3.593914817,47.36,80886.90774,37500.0,224885.2159,2,80400
Алтуфьевский район,13.37,-0.4,184.29,16.42,8.3,8.7,14.3,2.538191126,63.46,65083.46626,30769.0,144259.9068,1,57300
район Арбат,7.85,3.0,1005.82,30.78,9.2,6.2,23.2,2.344487129,22.01,133191.3082,60000.0,359558.8235,2,35000
район Аэропорт,10.91,-2.8,474.9,15.18,6.7,9.5,22.1,9.483960438,44.39,112833.9674,38095.0,220806.2771,6,79100
Бабушкинский район,10.26,2.1,422.37,-1.88,11.9,9.8,17.8,7.251188857,70.93,66785.32233,32000.0,159817.3516,3,88200
Басманный район,10.94,3.1,1424.73,13.73,10.3,7.2,21.5,2.898661007,24.25,89062.9261,43636.0,247806.0681,10,110100
район Беговой,10.95,-0.8,714.64,-2.2,7.4,8.2,18.6,0.818608347,20.8,84738.88504,41224.5,247058.8235,7,42700
Бескудниковский район,11.1,2.6,158.55,21.83,8.8,6.2,20.1,12.09398319,60.91,92441.87145,30270.0,162500.0,7,78400
район Бибирево,12.48,-1.1,115.01,12.31,8.0,9.1,15.7,12.97486254,78.74,56865.26979,30769.0,148977.889,4,159900
район Бирюлёво Восточное,13.03,0.1,126.89,19.21,8.8,8.7,17.6,40.52576155,45.68,60471.83255,27234.0,132051.2821,4,153300
район Бирюлёво Западное,13.15,-0.4,101.97,14.88,8.9,9.3,13.7,3.958934462,40.15,80961.46456,27059.0,120454.5455,4,88300
район Богородское,12.43,-0.5,300.2,5.61,10.5,11.0,18.9,35.91075977,51.39,63475.99009,33778.0,163595.721,2,107900
район Братеево,10.45,1.9,110.59,13.89,9.1,7.2,14.6,14.98411147,79.56,56381.15065,29474.0,144033.1928,3,109100
Бутырский район,12.39,-0.4,469.37,15.32,7.7,8.1,16.4,3.782822908,48.23,83555.76171,35833.0,188095.2381,5,71000
район Вешняки,9.16,-3.4,131.92,8.47,7.7,11.1,16.5,54.59042473,53.41,63445.09651,30000.0,140257.6112,3,122100
район Внуково,11.12,8.5,140.27,20.75,20.1,11.6,18.7,5.382679655,14.58,72399.58723,25000.0,97389.78495,3,25000
Войковский район,11.21,-4.6,328.41,15.03,8.2,12.8,21.5,5.071082397,36.32,115396.4547,35556.0,186688.3117,5,69800
район Восточное Дегунино,13.44,-0.9,174.63,6.58,8.3,9.2,16.2,5.154737385,43.21,82479.04978,29412.0,144736.8421,0,98600
район Восточное Измайлово,12.99,-0.5,222.4,10.66,6.2,6.7,16.3,0.833580755,76.19,69320.93072,31111.0,160660.1732,5,77900
район Восточный,10.09,-2.3,111.5,-1.22,6.9,9.2,13.9,5.840015515,70.93,60954.21125,21463.0,95454.54545,2,13600
район Выхино-Жулебино,9.3,-2.1,218.18,12.06,7.3,9.4,16.7,11.25275066,58.29,78943.13407,29333.0,141509.434,10,224600
Гагаринский район,9.14,1.4,304.79,5.52,9.0,7.6,22.4,17.73294505,21.96,90863.83559,40000.0,257069.4087,3,79700
Головинский район,9.54,-4.0,252.72,-2.28,7.8,11.8,17.6,6.433226755,47.08,72322.50537,33090.0,162666.6667,4,103100
район Гольяново,9.76,-2.3,246.37,9.5,8.2,10.5,17.9,3.999042021,60.56,65984.51138,29474.0,144434.6784,10,162300
